,period,rank,pumnum,actor,title,date,avdbslink,thumb1,thumb2,trailer,up,down,oldrank
17,year,17,MIDV-032,나나사와 미아,'미아 양에게 남자친구가 생겼다니...' 10년치 짝사랑이 폭발하는 이웃의 이상성욕 아저씨가 미약으로 키메섹* 감금 쓰레기방에서 땀범벅 실금된 채 동거당한 3일간 나나사와 미아,2022-01-18,https://www.avdbs.com/menu/dvd.php?dvd_idx=804619,https://pics.r18.com/digital/video/midv00032/midv00032pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/midv032/midv032pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/m/mid/midv00032/midv00032_dmb_w.mp4,563,215,16
18,year,18,SHKD-985,산노미야 츠바키,신혼 타미야 선생은 교내 제일의 문제아에게 성기구로 만들어졌다. 산노미야 츠바키,2022-02-01,https://www.avdbs.com/menu/dvd.php?dvd_idx=805501,https://pics.r18.com/digital/video/shkd00985/shkd00985pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/shkd985/shkd985pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/s/shk/shkd00985/shkd00985_dmb_w.mp4,517,115,18
19,year,19,IPX-690,사쿠라 모모,그녀의 언니는 그라비아 아이돌 말랑말랑 가슴을 폭주 쪼물쪼물 질내사* 격 피스톤! 사쿠라 모모,2021-07-13,https://www.avdbs.com/menu/dvd.php?dvd_idx=793707,https://pics.r18.com/digital/video/ipx00690/ipx00690pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/ipx690/ipx690pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/i/ipx/ipx00690/ipx00690_dmb_w.mp4,1304,584,19
20,year,20,IPZ-855,모모노기 카나,스캔들[열애편] 모모노기 카나가 진심으로 사랑하는 남자와의 X스 도촬영상 그대로 AV출시! 180분 SPECIAL,2016-11-25,https://www.avdbs.com/menu/dvd.php?dvd_idx=676972,https://pics.r18.com/digital/video/ipz00855/ipz00855pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/ipz855/ipz855pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/i/ipz/ipz00855/ipz00855_dmb_w.mp4,2101,730,20
21,year,21,MMFL-001,무카이 아이,영화연구회 동아리 마지막 밤,2020-04-19,https://www.avdbs.com/menu/dvd.php?dvd_idx=771986,https://pics.r18.com/digital/video/mmfl00001/mmfl00001pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/mmfl001/mmfl001pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/m/mmf/mmfl00001/mmfl00001_dmb_w.mp4,0,0,21
22,year,22,STARS-734,카미키 레이 (시오리),스타일이 너무 뛰어난 부하의 약점을 잡고 협박해 육노●화. 갑질 상사의 사내 란제리 조교!! 카미키레이,2022-12-08,https://www.avdbs.com/menu/dvd.php?dvd_idx=821819,https://pics.r18.com/digital/video/1stars00734/1stars00734pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/1stars734/1stars734pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/1/1st/1stars734/1stars734_dmb_w.mp4,453,233,22
23,year,23,SSIS-387,카와키타 사이카,사이카의 펠라치오 안면사* 카와키타 사이카,2022-04-26,https://www.avdbs.com/menu/dvd.php?dvd_idx=809931,https://pics.r18.com/digital/video/ssis00387/ssis00387pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/ssis387/ssis387pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/s/ssi/ssis00387/ssis00387_dmb_w.mp4,451,225,23
24,year,24,MIDV-192,하시모토 아리나,SUPER STAR welcome back! 대형 이적 새로운 있음 2개월간 밀착 대금욕·각성 4본방 스페셜!!,2022-09-20,https://www.avdbs.com/menu/dvd.php?dvd_idx=817884,https://pics.r18.com/digital/video/midv00192/midv00192pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/midv192/midv192pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/m/mid/midv00192/midv00192_dmb_w.mp4,442,304,24
25,year,25,GVG-437,오오바 유이,엉덩이 정말 좋아하는 쇼타군의 H 장난 오오바 유이,2017-02-16,https://www.avdbs.com/menu/dvd.php?dvd_idx=699620,https://pics.r18.com/digital/video/13gvg00437/13gvg00437pl.jpg,https://pics.dmm.co.jp/mono/movie/adult/13gvg437/13gvg437pl.jpg,https://cc3001.dmm.co.jp/litevideo/freepv/1/13g/13gvg437/13gvg437_dmb_w.mp4,496,70,26
26,year,26,ABW-013,스즈무라 아이리,목소리를 낼 수 없는 상황에서... 몰래 이챠 러브 '밀착' 섹* vol.02 밀폐된 공간에서 가버리는 3회 밀착 성교 스즈무라 아이리,2020-10-02,https://www.avdbs.com/menu/dvd.php?dvd_idx=779798,https://image.mgstage.com/images/prestige/abw/013/pb_e_abw-013.jpg,https://www.prestige-av.com/api/media/goods/prestige/abw/013/pb_abw-013.jpg,https://www.prestige-av.com/api/media/movie/ABW-013.mp4,1779,877,25
27,year,27,ABP-984,스즈모리 레무,"질내사* 사*집행관 05 도S 집행관이 고속기승위로, 불순정자를 착즙한다!! 스즈모리 레무",2020-06-12,https://www.avdbs.com/menu/dvd.php?dvd_idx=774414,https://image.mgstage.com/images/prestige/abp/984/pb_e_abp-984.jpg,https://www.prestige-av.com/api/media/goods/prestige/abp/984/pb_abp-984.jpg,https://www.prestige-av.com/api/media/movie/ABP-984.mp4,1510,693,27
28,year,28,JUQ-174,이치노 아오이,옆집의 수수한 부인에게 욕정한 동정의 제가 입장 역전 땀 범벅이 된 역종 프레스로 훈육을 받아 버렸을 때의 이야기입니다. 이치노아오이,2022-12-27,https://www.avdbs.com/menu/dvd.php?dvd_idx=822422,https://pics.r18.com/digital/video/juq00174/juq00174pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/j/juq/juq00174/juq00174_dmb_w.mp4,403,264,0
29,year,29,ABW-073,스즈무라 아이리,※흉분 NTR 최악의 우울 발기 영상! 행복을 약속한 매우 좋아하는 그녀를 아저씨에게 빼앗겨 망가졌습니다. 스즈무라 아이리,2021-04-02,https://www.avdbs.com/menu/dvd.php?dvd_idx=790137,https://image.mgstage.com/images/prestige/abw/073/pb_e_abw-073.jpg,https://www.prestige-av.com/api/media/goods/prestige/abw/073/pb_abw-073.jpg,https://www.prestige-av.com/api/media/movie/ABW-073.mp4,1455,730,28
30,year,30,IPX-282,아마미 츠바사,출장지 같은 방 NTR이 절륜한 부하에 밤새 몇번도 질*사*된 여자 상사 아마미 츠바사,2019-03-13,https://www.avdbs.com/menu/dvd.php?dvd_idx=743019,https://pics.r18.com/digital/video/ipx00282/ipx00282pl.jpg,-,https://cc3001.dmm.co.jp/litevideo/freepv/i/ipx/ipx00282/ipx00282_dmb_w.mp4,2048,799,29
